species	csize                                                                     
alicia	4.80064926164507E+002 
amphichloe	4.28154567105541E+002 
amphinome	4.54823958618423E+002 
arinome	5.58533496458956E+002 
atlantis	4.57261595442550E+002 
belladonna	4.83081773616020E+002 
chloe	4.07104613909824E+002 
epinome	4.72892693959211E+002 
februa	5.05053297517533E+002 
feronia	5.16681075067912E+002 
fornax	5.04644099011042E+002 
glauconome	4.04094048459019E+002 
guatemalena	5.56712523061349E+002 
iphthime	4.53177853239395E+002 
julitta	4.48823276282919E+002 
laodamia	4.99199692841786E+002 
velutina	5.16196990821657E+002 
amphinome	6.95828043892072E+002 
amphinome	5.23653988813224E+002 
amphinome	6.20229258688538E+002 
amphinome	6.01111193263498E+002 
arete	5.78095724483988E+002 
arete	5.19106604337362E+002 
arete	5.64915922947831E+002 
arinome	6.54420481545823E+002 
arinome	6.94187414655917E+002 
arinome	5.19484520141521E+002 
arinome	5.53031946033259E+002 
atlantis	5.65830510547696E+002 
atlantis	5.70696212241387E+002 
atlantis	5.66735976153505E+002 
belladonna	3.07668923790926E+002 
belladonna	2.68555704960194E+002 
belladonna	3.13513689227972E+002 
chloe	4.20938039779411E+002 
chloe	3.60299412526119E+002 
chloe	3.88427813971485E+002 
chloe	5.25549395077824E+002 
chloe	5.12048337561992E+002 
epinome	5.29107739501134E+002 
epinome	5.37984665208963E+002 
februa	6.94724645693050E+002 
februa	5.99120466461740E+002 
februa	5.79854866899181E+002 
februa	5.88869538466147E+002 
feronia	6.76215079196947E+002 
feronia	6.85754207667247E+002 
feronia	6.10979268606281E+002 
feronia	5.45029051213480E+002 
feronia	5.23200407747038E+002 
fornax	6.87564421224174E+002 
fornax	6.95286991105112E+002 
fornax	5.77358496372343E+002 
fornax	5.50174669233932E+002 
glauconome	6.43095897462683E+002 
glauconome	6.72201358721229E+002 
glauconome	5.95138779333583E+002 
glauconome	6.32184572204458E+002 
glauconome	5.31087720312442E+002 
guatemalena	7.25210888868427E+002 
guatemalena	6.57341869450998E+002 
guatemalena	7.24497987114756E+002 
guatemalena	6.50911924405548E+002 
guatemalena	6.97099466838604E+002 
iphthime	6.45643864680832E+002 
iphthime	5.32382224847274E+002 
laodamia	5.81701097357282E+002 
laodamia	5.29537219340309E+002 
laodamia	5.76529848894805E+002 
laodamia	5.37815953649573E+002 
velutina	3.11394176781348E+002 
velutina	3.04424320097240E+002 
velutina	3.00082766360660E+002 
